time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
"2017-04-20T21:24:26.920Z,-27.5237,-67.2518,114.28,5.2,mwr,,28,1.808,1.34,us,us10008je7,2017-04-20T22:31:59.040Z,""23km W of La Puerta de San Jose, Argentina"",earthquake,5.9,2.8,0.071,19,reviewed,us,us"
"2017-04-20T21:13:35.000Z,17.5071,-101.7408,10,4.5,mb,,183,2.183,0.85,us,us10008je0,2017-04-23T21:55:05.167Z,""20km SSW of Ixtapa, Mexico"",earthquake,8.8,1.9,0.034,258,reviewed,us,us"
"2017-04-20T20:00:26.310Z,19.3976667,-155.4488333,7.286,2.55,ml,51,34,0.02667,0.12,hv,hv61706521,2017-04-21T00:49:32.570Z,""22km W of Volcano, Hawaii"",earthquake,0.31,0.88,0.184,31,reviewed,hv,hv"
"2017-04-20T18:41:41.000Z,17.3283,-68.0746,87,3.4,Md,8,273.6,1.14086041,0.46,pr,pr17110007,2017-04-20T20:08:24.040Z,""123km SW of Pole Ojea, Puerto Rico"",earthquake,6.3,8.8,0,5,reviewed,pr,pr"
"2017-04-20T18:35:32.970Z,34.0356667,-117.2396667,17.83,2.46,ml,125,15,0.03348,0.17,ci,ci37862624,2017-04-20T21:04:11.253Z,""2km SE of Loma Linda, CA"",earthquake,0.11,0.22,0.174,144,reviewed,ci,ci"
"2017-04-20T18:27:47.620Z,36.2883,70.2457,110.19,4.1,mb,,168,0.876,0.5,us,us10008jch,2017-04-20T18:40:12.040Z,""46km SE of Farkhar, Afghanistan"",earthquake,7.9,5,0.522,1,reviewed,us,us"
"2017-04-20T18:13:28.770Z,-8.7155,122.356,142.18,4.3,mb,,135,0.141,1.7,us,us10008jca,2017-04-20T18:34:45.040Z,""0km SE of Kloangpopot, Indonesia"",earthquake,11.1,5.9,0.16,11,reviewed,us,us"
"2017-04-20T18:00:14.511Z,52.8872,-167.3853,49.7,2.5,ml,,,,0.54,ak,ak15794997,2017-04-20T22:23:53.654Z,""99km E of Nikolski, Alaska"",earthquake,,5.2,,,reviewed,ak,ak"
"2017-04-20T17:43:43.960Z,49.2067,156.0912,46.26,4.5,mb,,169,4.035,0.81,us,us10008jc2,2017-04-20T18:31:45.040Z,""163km S of Severo-Kuril'sk, Russia"",earthquake,11.2,8.3,0.068,63,reviewed,us,us"
"2017-04-20T16:54:04.260Z,-1.1613,119.9375,40.86,4.6,mb,,86,2.409,0.79,us,us10008jbx,2017-04-21T15:02:33.040Z,""30km SSE of Palu, Indonesia"",earthquake,6.8,7.6,0.071,59,reviewed,us,us"
"2017-04-20T16:10:41.000Z,19.0744,-67.7494,12,2.9,Md,12,248.4,0.81746691,0.2,pr,pr17110008,2017-04-21T14:52:53.040Z,""83km NE of Punta Cana, Dominican Republic"",earthquake,2.9,3.4,0,6,reviewed,pr,pr"
"2017-04-20T16:02:43.600Z,17.7928,-64.1116,38,3.4,Md,12,331.2,0.62432912,0.91,pr,pr17110004,2017-04-21T14:41:36.040Z,""59km SE of Road Town, British Virgin Islands"",earthquake,10.3,17.8,0,4,reviewed,pr,pr"
"2017-04-20T16:01:22.820Z,49.2539,156.0604,40.08,4.6,mb,,135,3.994,0.74,us,us10008j9k,2017-04-21T14:34:20.040Z,""158km S of Severo-Kuril'sk, Russia"",earthquake,8.7,3.1,0.045,150,reviewed,us,us"
